payroll_id,employee_id,pay_period,gross_pay,deductions,net_pay,overtime_hours
1,1,2026-02-28,6147.79,1528.66,4619.13,10
2,2,2026-02-28,5279.71,872.66,4407.05,10
3,3,2026-02-28,6081.91,1025.75,5056.15,5
4,4,2026-02-28,6903.75,1232.39,5671.36,0
5,5,2026-02-28,4707.25,787.7,3919.55,0
6,6,2026-02-28,4707.25,1128.22,3579.03,0
7,7,2026-02-28,6974.0,1102.06,5871.94,0
8,8,2026-02-28,5959.25,1206.46,4752.79,0
9,9,2026-02-28,4826.81,916.06,3910.75,10
10,10,2026-02-28,5678.17,1402.21,4275.96,0
11,11,2026-02-28,4420.67,1045.71,3374.95,0
12,12,2026-02-28,4832.01,1047.89,3784.12,10
13,13,2026-02-28,5302.42,1288.16,4014.26,0
14,14,2026-02-28,2608.33,536.47,2071.86,0
15,15,2026-02-28,3110.44,524.75,2585.7,10
16,16,2026-02-28,4297.08,783.65,3513.43,0
17,17,2026-02-28,4083.97,659.49,3424.48,10
18,18,2026-02-28,5392.75,1138.2,4254.55,0
19,19,2026-02-28,4227.25,837.48,3389.77,10
20,20,2026-02-28,3234.58,657.46,2577.13,0
21,21,2026-02-28,6832.0,1254.77,5577.23,0
22,22,2026-02-28,4717.75,771.08,3946.67,0
23,23,2026-02-28,5084.33,794.87,4289.46,0
24,24,2026-02-28,3219.0,801.52,2417.48,0
25,25,2026-02-28,4319.5,787.17,3532.33,0
26,26,2026-02-28,5861.2,1228.3,4632.9,15
27,27,2026-02-28,3895.12,946.33,2948.79,10
28,28,2026-02-28,5982.36,1334.58,4647.77,10
29,29,2026-02-28,4647.53,1041.57,3605.96,10
30,30,2026-02-28,4635.33,961.59,3673.75,0
31,31,2026-02-28,4446.95,1020.69,3426.26,5
32,32,2026-02-28,7315.33,1244.8,6070.54,0
33,33,2026-02-28,4983.08,829.01,4154.07,0
34,34,2026-02-28,3677.83,612.09,3065.74,0
35,35,2026-02-28,6875.88,1634.53,5241.34,15
36,36,2026-02-28,3473.92,657.42,2816.5,0
37,37,2026-02-28,5261.0,1218.76,4042.24,0
38,38,2026-02-28,2550.33,494.54,2055.79,0
39,39,2026-02-28,3339.75,626.85,2712.9,0
40,40,2026-02-28,5246.0,1029.62,4216.38,0
41,41,2026-02-28,5923.0,1066.96,4856.04,0
42,42,2026-02-28,5702.99,1368.48,4334.52,10
43,43,2026-02-28,4855.42,914.71,3940.71,0
44,44,2026-02-28,5273.77,1286.71,3987.06,15
45,45,2026-02-28,3447.32,790.82,2656.49,10
46,46,2026-02-28,4100.17,869.27,3230.9,0
47,47,2026-02-28,5046.32,914.25,4132.06,15
48,48,2026-02-28,6321.33,1105.28,5216.06,0
49,49,2026-02-28,5429.5,1218.35,4211.15,0
50,50,2026-02-28,2796.17,578.78,2217.39,0
51,51,2026-02-28,5405.08,1222.88,4682.21,0
52,52,2026-02-28,5154.01,1209.36,3944.65,15
53,53,2026-02-28,4153.83,788.1,3365.73,0
54,54,2026-02-28,5764.58,1324.3,4440.29,0
55,55,2026-02-28,6583.45,1463.01,5120.44,5
56,56,2026-02-28,6164.08,1368.45,4795.63,0
57,57,2026-02-28,3950.92,845.95,3104.97,0
58,58,2026-02-28,4613.42,1012.16,3601.26,0
59,59,2026-02-28,5921.56,995.77,4925.79,10
60,60,2026-02-28,6219.42,1497.92,4721.5,0
61,61,2026-02-28,4401.0,916.9,3484.1,0
62,62,2026-02-28,5438.4,1134.58,4303.83,15
63,63,2026-02-28,3617.0,725.53,2891.47,0
64,64,2026-02-28,3504.67,739.99,2764.67,0
65,65,2026-02-28,6015.58,913.23,5102.35,0
